0.05	-2.74666	0.00016918	-0.00016918
0.1	-2.79323	0.00012647	-0.00012647
0.15	-2.81529	5.614e-05	-5.614e-05
0.2	-2.81316	6.435e-05	-6.435e-05
0.25	-2.81468	3.721e-05	-3.721e-05
0.3	-2.81405	9.882e-05	-9.882e-05
0.35	-2.81549	7.874e-05	-7.874e-05
0.4	-2.81373	6.434e-05	-6.434e-05
0.45	-2.81737	3.707e-05	-3.707e-05
0.5	-2.81746	7.877e-05	-7.877e-05
0.55	-2.81557	8.318e-05	-8.318e-05
0.6	-2.81782	7.231e-05	-7.231e-05
0.65	-2.81729	8.085e-05	-8.085e-05
0.7	-2.82		8.142e-05	-8.142e-05
0.75	-2.81757	9.975e-05	-9.975e-05
0.8	-2.81595	3.873e-05	-3.873e-05
0.85	-2.81703	5.994e-05	-5.994e-05
0.9	-2.81605	3.058e-05	-3.058e-05
0.95	-2.81915	6.936e-05	-6.936e-05
1	-2.81585	7.881e-05	-7.881e-05

