Gaute,
flere ting:
jeg må innrømme at når jeg bruker de rutinene jeg sendte deg,
dvs for mine problemer, kommer ting og tang rimelig bra ut.
Jeg hra lagt ved 4 eksempler for J=0 og T=1 nukleon-nukleon
G-matrise, diagonalelementer, med 30 punkter, før og etter interpolasjon,
og 100 pkter. som du vil se av filene når du plotter, er det et veldig
bra samsvar. potensialet utviser til og med en dip, slik at det tester
interpolasjonen skikkelig. Har egentlig aldri opplevd noen stor
diskrepans. Men jeg skal se mere på problemet ditt.

Jeg er i USA just nu og har noen flere spørsmål til deg.
skal holde et foredrag torsdag og tenkte å nevne noe om
kompleks scaling. tenkte derfor å spørre deg om følgende
1) har du noen figurer med 
   a) sammenlikning av spredningstilfelle for løsning av Lippmann-schwinger
      for vanlig fredholm-metode (ikke kowalski), analytisk kontinuering,
      og complex scaling? Gjerne med både Ginocchio, 5He og enkelt Yukawa
      pot.
   b) figur med egenverdier, bundne og resonanser for ulike vinkler theta
      og med pot av typen yukawa? Har du noe analyse av resultatene som
      funksjon av theta?
   c) dersom du har skrevet opp noe, order å sende det også? så kan jeg gjerne
      iterere litt videre.

2) orker du også sende siste versjon av to-legeme complex-scaling koden
din? send gjerne hele pakken, tenkte nemlig å teste den ut på NN pot.
har koda deler av potensialet til machleidt.

Morten

30 pkter, før interpolasjon
 gitterpkt i k         potensial
 1.829892608716405E-03 -1.251611507906898E-05
 9.620797404138190E-03 -1.251434601241842E-05
 2.355680794601038E-02 -1.250519028800664E-05
 4.352051019533993E-02 -1.247879488242006E-05
 6.937440517088679E-02 -1.242187540273480E-05
 0.1009980104392956 -1.231891615752343E-05
 0.1383276266244244 -1.215376664745245E-05
 0.1813987607560044 -1.191128312316769E-05
 0.2303908956119115 -1.157840952057083E-05
 0.2856761508117495 -1.114416753622204E-05
 0.3478756207770097 -1.059853243771648E-05
 0.4179297839483968 -9.930790096707480E-06
 0.4971927372472137 -9.128277503283746E-06
 0.5875649125479531 -8.176387841510263E-06
 0.6916867879037684 -7.060784270445548E-06
 0.8132294257653844 -5.773403027468744E-06
 0.9573411186318670 -4.325475365225464E-06
 1.131352112067927 -2.774247863204324E-06
 1.345920007210346 -1.279739329228636E-06
 1.616957414715626 -2.587992749044945E-07
 1.969013067133375 -7.954023095245149E-07
 2.441503107577956 -2.017295966489849E-06
 3.100903805854069 -5.019522483899585E-08
 4.066433810609854 -2.558436478306146E-11
 5.569418481113830 -2.321762180331850E-30
 8.108181492924805 9.731331217360299E-38
 12.92495015861836 7.497321668090672E-37
 23.87848068730919 9.953298413108630E-36
 58.46728638503707 3.905171049198433E-34
 307.4005955655882 3.128776716449070E-31

30 pkter etter interpolasjon k fra 0-8
 1.397932166407756E-02 -1.251230772757194E-05
 7.349344524113732E-02 -1.241051529066265E-05
 0.1799016076426163 -1.192053141576268E-05
 0.3320997865682660 -1.074138581858753E-05
 0.5284775889357629 -8.802632619088723E-06
 0.7669540692775421 -6.258313729910240E-06
 1.045001555528282 -3.512992125311054E-06
 1.359672773430079 -1.201861018581282E-06
 1.707632176548407 -1.860373507138628E-07
 2.085191333360910 -1.271842901003245E-06
 2.488348037078599 -2.004918513227368E-06
 2.912828735111049 -2.558766327547959E-07
 3.354133832244496 2.613039651150239E-08
 3.807585388761374 -1.990743731878767E-09
 4.268376708501070 -5.436724778087712E-10
 4.731623291498930 -2.587004900719135E-09
 5.192414611238626 -8.377691342805657E-13
 5.645866167755504 -2.456649306778500E-14
 6.087171264888951 -7.591175764147928E-13
 6.511651962921402 -1.568910308042860E-12
 6.914808666639090 -3.425049881227426E-31
 7.292367823451594 -1.405860259300714E-31
 7.640327226569921 -4.069993462740572E-32
 7.954998444471718 -3.858878573425908E-33
 8.233045930722458 -2.285078211653473E-33
 8.471522411064237 -1.743250022813923E-32
 8.667900213431734 -3.780078867745071E-32
 8.820098392357384 -5.685880124065780E-32
 8.926506554758863 -7.128168655144930E-32
 8.986020678335922 -7.960323602425445E-32


100 pkter før interpolasjon 
 1.686288573108631E-04 -7.325239962572191E-06
 8.883148385907356E-04 -7.325228930103619E-06
 2.182352002166471E-03 -7.325171299865579E-06
 4.049785839786644E-03 -7.325002516093725E-06
 6.488888889542491E-03 -7.324629772123575E-06
 9.497420314912039E-03 -7.323932518674507E-06
 1.307269082703301E-02 -7.322763168380538E-06
 1.721161956156125E-02 -7.320948026812048E-06
 2.191079663979476E-02 -7.318288484340190E-06
 2.716655291637614E-02 -7.314562505395531E-06
 3.297503665038469E-02 -7.309526451162018E-06
 3.933229645642646E-02 -7.302917267828045E-06
 4.623436979426889E-02 -7.294455064533980E-06
 5.367737624331444E-02 -7.283846092590868E-06
 6.165761483618817E-02 -7.270786120137540E-06
 7.017166478038088E-02 -7.254964174297870E-06
 7.921648897263610E-02 -7.236066596784101E-06
 8.878953980422014E-02 -7.213781330108594E-06
 9.888886686362354E-02 -7.187802322149913E-06
 0.1095132262641502 -7.157833909443315E-06
 0.1206621914549779 -7.123595017347473E-06
 0.1323362655135997 -7.084823001421591E-06
 0.1445369950633594 -7.041276951851553E-06
 0.1572670861107504 -6.992740293686196E-06
 0.1705305222523661 -6.939022541089680E-06
 0.1843326858604879 -6.879960101451603E-06
 0.1986804830194158 -6.815416077186431E-06
 0.2135824731525135 -6.745279066798906E-06
 0.2290490044538448 -6.669461027574578E-06
 0.2450923564201652 -6.587894316601765E-06
 0.2617268909714536 -6.500528072435331E-06
 0.2789692138543793 -6.407324145277525E-06
 0.2968383482470754 -6.308252764742273E-06
 0.3153559227300867 -6.203288221482090E-06
