10000         0.3
15000         0.34
20000         0.44
25000         0.55
30000         0.66
35000         0.77
40000         0.88
45000         1
50000         1.11
55000         1.23
60000         1.32
65000         1.43
70000         1.54
75000         1.66
80000         1.77
85000         1.9
90000         1.99
95000         2.09
100000         2.21
105000         2.32

