0.2	10000
0.25	15000
0.32	20000
0.41	25000
0.48	30000
0.59	35000
0.65	40000
0.74	45000
0.81	50000
0.9	55000
0.99	60000
1.06	65000
1.16	70000
1.23	75000
1.32	80000
1.39	85000
1.46	90000
1.53	95000
1.65	100000
1.74	105000


