  90
  0.8100  0.3899  0.1860  0.0001  0.0000  0.1859  0.0482  0.0000   0.0000
  0.8200  0.3907  0.1889  0.0001  0.0000  0.1888  0.0516  0.0000   0.0000
  0.8300  0.3915  0.1918  0.0001  0.0000  0.1917  0.0550  0.0000   0.0000
  0.8400  0.3922  0.1947  0.0001  0.0000  0.1947  0.0584  0.0000   0.0000
  0.8500  0.3928  0.1977  0.0000  0.0000  0.1977  0.0618  0.0000   0.0000
  0.8600  0.3934  0.2007  0.0000  0.0000  0.2007  0.0651  0.0000   0.0000
  0.8700  0.3939  0.2038  0.0000  0.0000  0.2038  0.0684  0.0000   0.0000
  0.8800  0.3944  0.2070  0.0000  0.0000  0.2070  0.0717  0.0000   0.0000
  0.8900  0.3948  0.2101  0.0000  0.0000  0.2101  0.0749  0.0000   0.0000
  0.9000  0.3952  0.2133  0.0000  0.0000  0.2133  0.0782  0.0000   0.0000
  0.9100  0.3956  0.2164  0.0000  0.0000  0.2164  0.0816  0.0000   0.0000
  0.9200  0.3961  0.2194  0.0000  0.0000  0.2194  0.0852  0.0000   0.0000
  0.9300  0.3966  0.2222  0.0000  0.0000  0.2222  0.0890  0.0000   0.0000
  0.9400  0.3971  0.2250  0.0000  0.0000  0.2250  0.0930  0.0000   0.0000
  0.9500  0.3976  0.2276  0.0000  0.0000  0.2276  0.0973  0.0000   0.0000
  0.9600  0.3981  0.2300  0.0000  0.0000  0.2300  0.1019  0.0000   0.0000
  0.9700  0.3986  0.2323  0.0000  0.0000  0.2323  0.1067  0.0000   0.0000
  0.9800  0.3992  0.2345  0.0000  0.0000  0.2345  0.1118  0.0000   0.0000
  0.9900  0.3996  0.2366  0.0000  0.0000  0.2366  0.1172  0.0000   0.0000
  1.0000  0.4001  0.2386  0.0000  0.0000  0.2386  0.1227  0.0000   0.0000
  1.0100  0.4002  0.2410  0.0000  0.0000  0.2410  0.1278  0.0000   0.0000
  1.0200  0.4003  0.2434  0.0000  0.0000  0.2434  0.1330  0.0000   0.0000
  1.0300  0.4004  0.2457  0.0000  0.0000  0.2457  0.1382  0.0000   0.0000
  1.0400  0.4005  0.2480  0.0000  0.0000  0.2480  0.1435  0.0000   0.0000
  1.0500  0.4006  0.2503  0.0000  0.0000  0.2503  0.1488  0.0000   0.0000
  1.0600  0.4007  0.2525  0.0000  0.0000  0.2525  0.1542  0.0000   0.0000
  1.0700  0.4009  0.2547  0.0000  0.0000  0.2547  0.1597  0.0000   0.0000
  1.0800  0.4011  0.2568  0.0000  0.0000  0.2569  0.1652  0.0000   0.0000
  1.0900  0.4013  0.2589  0.0000  0.0000  0.2590  0.1708  0.0000   0.0000
  1.1000  0.4015  0.2610  0.0000  0.0000  0.2610  0.1765  0.0000   0.0000
