0.180162D+01  0.717977D+00  0.673110D+00  0.408366D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.182799D+01  0.740254D+00  0.688026D+00  0.430786D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.185391D+01  0.759558D+00  0.702321D+00  0.455887D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.187856D+01  0.781176D+00  0.716057D+00  0.474141D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.190286D+01  0.800121D+00  0.731136D+00  0.495148D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.192628D+01  0.819681D+00  0.743838D+00  0.514509D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.194498D+01  0.843929D+00  0.749152D+00  0.525459D+00  0.328751D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.195743D+01  0.875956D+00  0.743838D+00  0.518211D+00  0.495148D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.196946D+01  0.904594D+00  0.738448D+00  0.510753D+00  0.588966D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.198135D+01  0.932661D+00  0.732978D+00  0.499141D+00  0.664281D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.199284D+01  0.959134D+00  0.727425D+00  0.491089D+00  0.725555D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.200397D+01  0.985238D+00  0.719886D+00  0.482764D+00  0.777928D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.201472D+01  0.101003D+01  0.712186D+00  0.469710D+00  0.825515D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.202488D+01  0.103366D+01  0.704316D+00  0.460587D+00  0.869477D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.203494D+01  0.105714D+01  0.696266D+00  0.446184D+00  0.910585D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.204443D+01  0.108046D+01  0.688026D+00  0.430786D+00  0.949379D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.205336D+01  0.110282D+01  0.679583D+00  0.414201D+00  0.985238D+00  0.000000D+00  0.000000D+00  0.000000D+00
0.206222D+01  0.112431D+01  0.668725D+00  0.402360D+00  0.101866D+01  0.000000D+00  0.000000D+00  0.000000D+00
0.207077D+01  0.114651D+01  0.659778D+00  0.383170D+00  0.105181D+01  0.000000D+00  0.000000D+00  0.000000D+00
0.207903D+01  0.116716D+01  0.648241D+00  0.369224D+00  0.108215D+01  0.000000D+00  0.000000D+00  0.000000D+00
0.208653D+01  0.118851D+01  0.636278D+00  0.346085D+00  0.111327D+01  0.000000D+00  0.000000D+00  0.000000D+00
0.209399D+01  0.120843D+01  0.626373D+00  0.319353D+00  0.114199D+01  0.000000D+00  0.000000D+00  0.000000D+00
0.210139D+01  0.122838D+01  0.613534D+00  0.298690D+00  0.116861D+01  0.000000D+00  0.000000D+00  0.000000D+00
0.210896D+01  0.124769D+01  0.602862D+00  0.274688D+00  0.119476D+01  0.000000D+00  0.000000D+00  0.000000D+00
