 5000 	 0.069
10000 	 0.138
15000 	 0.208
20000 	 0.277
25000 	 0.353
30000 	 0.414
35000 	 0.484
40000 	 0.553
45000 	 0.623
50000 	 0.702
55000 	 0.769
60000 	 0.832
65000 	 0.913
70000 	 0.966
75000 	 1.041
80000 	 1.124
85000 	 1.176
90000 	 1.250
95000 	 1.315
100000 	 1.388
105000 	 1.469
110000 	 1.514
115000 	 1.596
120000 	 1.680
125000 	 1.737
130000 	 1.811
135000 	 1.874
140000 	 1.966
145000 	 2.021
150000 	 2.076
155000 	 2.172
160000 	 2.234
165000 	 2.319
170000 	 2.354
175000 	 2.423
180000 	 2.495
185000 	 2.550
190000 	 2.634
195000 	 2.696
200000 	 2.789
205000 	 2.835
210000 	 2.941
215000 	 3.000
220000 	 3.061
225000 	 3.137
230000 	 3.225
235000 	 3.294
240000 	 3.355
245000 	 3.389
250000 	 3.485
255000 	 3.549
260000 	 3.620
