 5000 	 0.074
10000 	 0.150
15000 	 0.222
20000 	 0.291
25000 	 0.392
30000 	 0.437
35000 	 0.520
40000 	 0.593
45000 	 0.669
50000 	 0.735
55000 	 0.802
60000 	 0.891
65000 	 0.989
70000 	 1.030
75000 	 1.101
80000 	 1.184
85000 	 1.250
90000 	 1.379
95000 	 1.398
100000 	 1.467
105000 	 1.537
110000 	 1.625
115000 	 1.685
120000 	 1.752
125000 	 1.854
130000 	 1.909
135000 	 1.975
140000 	 2.068
145000 	 2.141
150000 	 2.212
155000 	 2.281
160000 	 2.401
165000 	 2.433
170000 	 2.525
175000 	 2.602
180000 	 2.753
185000 	 2.729
190000 	 2.800
195000 	 2.851
200000 	 2.953
205000 	 3.043
210000 	 3.132
215000 	 3.188
220000 	 3.271
225000 	 3.373
230000 	 3.442
235000 	 3.454
240000 	 3.528
245000 	 3.617
250000 	 3.676
255000 	 3.811
260000 	 3.810
