0.0005          -2.890236023266         1.0e-3          100.0
0.0006          -2.891825776920         1.0e-3          99.99
0.0007          -2.889661069030         9.0e-4          99.99
0.0008          -2.890227087931         8.0e-4           99.99
0.0009          -2.888274638523         8.0e-4           99.99
0.001           -2.889874961643        8.0e-4            99.99
0.002           -2.891021129330        5.5e-4            99.97
0.003           -2.890071437887        4.5e-4            99.94   
0.004           -2.889593740565         4.0e-4            99.91
0.005           -2.890291113421         3.5e-4            99.88
0.006           -2.890346482573         3.2e-4            99.85
0.007           -2.890645734042         3.0e-4            99.81
0.008           -2.889799065799         2.8e-4            99.77
0.009           -2.890489398844         2.6e-4            99.73
0.01            -2.890385736927         2.5e-4            99.69
0.02            -2.890057101634         1.8e-4           99.19
0.03            -2.890312029152         1.5e-4           98.61
0.04            -2.890108771744         1.4e-4           97.98
0.05            -2.890304721645         1.3e-4           97.28
0.06            -2.890145147190         1.3e-4           96.57
0.07            -2.890213516083         1.2e-4           95.83
0.08            -2.890423198877         1.3e-4           95.07
0.09            -2.890106999648         1.2e-4           94.31
0.1             -2.890335921736         1.2e-4          93.51

