89.4615		0.1     -2.82132023      0.05804083      0.00076185
74.7325		0.2     -2.82225770      0.13746894      0.00117247
61.261		0.3     -2.83087995      0.20962453      0.00144784
49.0245		0.4     -2.86232549      0.40232817      0.00200581
38.402		0.5     -2.89811127      0.44478232      0.00210899
29.708		0.6     -2.92320514      0.58869059      0.00242629
22.1355		0.7     -2.93687106      0.72360115      0.00268998
15.732		0.8     -2.97226270      0.40984512      0.00202446
11.0145		0.9     -3.02867861      0.59300416      0.00243517
8.151		1.0     -3.03086053      0.84872939      0.00291330

